"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"13592","HGM","HOV Services","EQ","1.0000","1","ES","E","NSE","62.5400","41.7000","","","411855"
"530663","GOYALASS","Goyal Associates","X","1.0000","1","ES","E","BSE","1.0500","0.7100","","","80000"
"3512","TNTELE","Tamilnadu Telecommunicati","EQ","1.0000","1","ES","E","NSE","9.5700","7.8300","","","1493454"
"506618","PUNJABCHEM","Punjab Chemicals And Crop.","B","5.0000","1","ES","E","BSE","1310.1500","873.4500","","","92469"
"530469","GSLSEC","GSL Securities","XT","1.0000","1","ES","E","BSE","45.3900","41.0700","","","80000"
"19677","ANSALAPI","Ansal Prop & Infra Ltd","BZ","1.0000","1","ES","E","NSE","3.7300","3.5900","","","5147139"
"24231","OMINFRAL","Om Metals Infraprojects","EQ","1.0000","1","ES","E","NSE","105.5200","70.3600","","","1137059"
"511754","SAHLIBHFI","Shalibhadra Finance","X","1.0000","1","ES","E","BSE","107.1600","71.4400","","","80000"
"532305","INDSWFTLAB","Ind-Swift Laboratories","B","5.0000","1","ES","E","BSE","171.8000","114.6000","","","696962"
"13367","SGL","STL Global","EQ","1.0000","1","ES","E","NSE","13.5400","9.0400","","","882602"
"590031","DENORA","De Nora India","B","5.0000","1","ES","E","BSE","840.0000","560.0000","","","141698"
"1805","KABRAEXTRU","Kabra Extrusion Technik L","EQ","5.0000","1","ES","E","NSE","276.7000","184.5000","","","433628"
"511108","SHIVATEX","Shiva Texyarn","B","5.0000","1","ES","E","BSE","174.1000","116.1000","","","423880"
"534338","MAXHEIGHTS","Maxheights Infrastructure","X","1.0000","1","ES","E","BSE","14.4200","9.6200","","","80000"
"14707","TIMETECHNO","Time Technoplast","EQ","1.0000","1","ES","E","NSE","201.9000","134.6000","","","594336"
"532732","KKCL","Kewal Kiran Clothing","B","5.0000","1","ES","E","BSE","572.2000","381.5000","","","210080"
"13229","GVKPIL","GVK Pow. & Infra Ltd.","BE","1.0000","1","ES","E","NSE","2.8100","2.7100","","","36230920"
"13620","ANANTRAJ","Anant Raj","EQ","5.0000","1","ES","E","NSE","563.5000","375.7000","","","212687"
"523483","PACIFICI","Pacific Industries","X","5.0000","1","ES","E","BSE","158.6000","105.8000","","","80000"
"503349","VICTMILL","Victoria Mills","X","5.0000","1","ES","E","BSE","7285.5000","4857.0000","","","80000"
"509597","HARDCAS","Hardcastle & Waud Mfg.Co.","X","5.0000","1","ES","E","BSE","749.2000","613.0000","","","80000"
"532374","STLTECH","Sterlite Technologies","A","5.0000","1","ES","E","BSE","221.1500","180.9500","","","497841"
